0.4000000000000003 ps 
-713.544 -1340.02 -324.581
-125.528 374.832 278.173
710.353 1270.79 128.03
-1486.34 547.604 360.258
801.059 -597.696 -214.855
527.181 26.618 -114.46
-431.67 1806.94 882.919
33.0968 -1344.21 -553.529
384.805 -240.765 -285.928
-1215.44 -1274.02 -1024.25
764.962 720.891 471.11
399.985 237.138 898.749
-922.374 1701.52 465.919
563.733 -444.096 554.28
477.491 -1027.43 -897.313
-1465.51 -1174.37 -656.037
1099.14 481.992 789.53
359.708 969.177 -394.857
-737.775 1403.48 -745.017
501.89 -603.116 653.132
304.509 -958.951 157.029
843.896 -482.775 -370.203
-410.674 228.558 531.342
-329.118 157.861 -179.508
-1449.1 251.396 282.239
827.265 282.709 -374.836
742.989 -715.179 506.836
-929.415 57.9032 768.522
441.781 466.502 -178.338
394.916 -546.336 -502.656
1316.61 125.838 -47.2821
-704.91 151.528 433.214
-556.973 -549.8 -487.823
-1275.14 -242.33 449.845
182.751 276.138 -664.205
1096.77 181.986 125.001
-1591.34 -19.1239 -1065.43
1080.6 131.813 122.842
443.924 31.1021 1049.77
247.108 -874.579 -313.674
73.7448 216.388 288.923
-399.148 718.438 -76.5949
-1784.23 247.461 -1156.4
1085.05 -205.28 510.671
465.645 88.8008 832.913
-1280.57 -989.518 1015.38
921.368 -168.066 -578.236
282.883 1011.45 -253.403
-733.594 1416.37 472.073
731.11 -858.885 -74.3814
-180.725 -656.373 -522.565
-308.873 -512.3 -888.098
434.392 326.833 31.076
47.7235 266.645 830.04
-922.394 308.715 -1346.94
746.319 260.003 576.036
158.721 -519.977 759.879
1575.93 402.788 -1471.22
-819.489 -859.625 817.703
-746.87 395.416 797.6
771.035 -1228.93 -211.522
249.613 725.345 -397.301
-842.094 557.999 491.09
-668.249 1064.52 -204.358
482.098 -854.435 20.0273
158.345 -97.4652 -13.3866
-1594.68 -1232.5 -136.698
285.656 904.048 164.108
1165.8 327.93 140.373
-692.902 863.931 -674.99
435.547 -751.623 351.267
144.987 -136.578 274.377
523.574 -1173.7 442.863
-384.813 468.588 107.84
-327.537 1028.22 -470.177
1049.21 -1157.04 535.324
-706.814 606.83 100.807
-175.233 818.107 -718.537
-275.991 -1202.22 1370.62
-262.134 284.314 -831.853
284.281 883.644 -554.512
800.184 -89.4386 -1557.28
-662.407 264.607 168.855
-296.343 -173.29 1154.55
248.322 -959.095 437.394
29.373 450.491 -269.217
-334.641 543.406 -161.634
59.4444 1681.24 -878.826
612.556 -563.863 393.48
-625.938 -952.342 517.369
1279.53 -237.553 14.8302
-548.478 -212.114 -83.8424
-689.168 616.819 196.973
879.624 -1071.52 -231.242
-630.475 487.004 -257.691
-185.707 380.321 307.294
